gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3113421844	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/78541978	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Guanacaste	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	11.049293	-85.470129	1347.0						2021-05-12T07:37:27	12	5	2021	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	78541978		Jairo Moya Vargas	2021-05-13T04:10:12	CC_BY_NC_4_0	Jairo Moya Vargas	Jairo Moya Vargas			2021-05-25T13:14:53.271Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3039288467	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/69073331	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.642406	-82.784176	89.0						2020-12-13T03:47:00	13	12	2020	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	69073331		Nicholas Hess	2021-02-05T00:07:44	CC_BY_NC_4_0	Nicholas Hess	Nicholas Hess			2021-05-25T12:48:37.611Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3017953823	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/67487545	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.478535	-83.597682	3.0						2021-01-02T06:42:09	2	1	2021	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	67487545		Leo Arias	2021-01-03T00:41:22	CC0_1_0	Leo Arias	Leo Arias			2021-05-25T12:19:55.576Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2992845866	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/65864190	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.121712	-83.553096	113.0						2020-11-29T21:27:48	29	11	2020	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	65864190		caiman90	2020-11-30T10:21:25	CC_BY_NC_4_0	pantheracostarica	pantheracostarica			2021-05-25T12:19:49.678Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2988275338	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/20330885	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.191534	-83.639285	132.0						2019-02-13T13:53:04	13	2	2019	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	20330885		edwingomezmendez	2019-02-14T00:27:06	CC_BY_NC_4_0	edwingomezmendez	edwingomezmendez			2021-05-25T12:46:30.010Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2980958866	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/63965620	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.607369	-84.973446	31179.0						2020-10-29T18:30:00	29	10	2020	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	63965620		frogman44	2020-11-01T15:07:53	CC_BY_NC_4_0	frogman44	frogman44			2021-05-25T13:14:11.282Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2859947785	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/57970017	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.593898	-83.102224	92.0						2020-01-26T09:17:36	26	1	2020	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	57970017		f_fleming-ochoverde	2020-08-29T22:04:53	CC_BY_NC_4_0	f_fleming-ochoverde	f_fleming-ochoverde			2021-05-25T12:19:09.263Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2859916721	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/57915507	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.593413	-83.098572							2017-07-26T23:30:40	26	7	2017	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	57915507		f_fleming-ochoverde	2020-08-29T13:27:33	CC_BY_NC_4_0	f_fleming-ochoverde	f_fleming-ochoverde			2021-05-25T12:19:22.559Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2851120457	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/55512549	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.40959	-83.32932							2020-02-28T12:38:00	28	2	2020	2434982	2434982	HUMAN_OBSERVATION	iNaturalist	Observations	55512549		Osa Conservation	2020-08-05T17:43:14	CC_BY_NC_4_0	Osa Conservation	Osa Conservation			2021-05-25T12:47:03.578Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
2843630845	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/142323590	Animalia	Chordata	Mammalia	Carnivora	Felidae	Leopardus	Leopardus pardalis		SPECIES	Leopardus pardalis (Linnaeus, 1758)	Leopardus pardalis		CR	Costa Rica - Juan Castro Blanco NP		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.2057	-84.3211	5.0						2017-07-16T00:00:00	16	7	2017	2434982	2434982	HUMAN_OBSERVATION		Observations	OBS.142323590				CC_BY_NC_4_0	Stichting Natuurinformatie				2021-03-09T19:05:42.742Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
