taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2433201	Tonatia brasiliense (Peters, 1867)	5706814	Lophostoma brasiliense Peters, 1867	6	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Lophostoma	3239770	Lophostoma brasiliense	5706814	LC
4262980	Proechimys semispinosus rubellus Hollister, 1914	4262980	Proechimys semispinosus rubellus Hollister, 1914	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Echimyidae	9436	Proechimys	8060485	Proechimys semispinosus	2439789	
6163163	Didelphis virginiana californica Bennett, 1833	6163163	Didelphis virginiana californica Bennett, 1833	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Didelphimorphia	783	Didelphidae	5455	Didelphis	7932087	Didelphis virginiana	2439923	
4263261	Heteromys desmarestianus planifrons Goldman, 1937	4263261	Heteromys desmarestianus planifrons Goldman, 1937	24	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Heteromyidae	5504	Heteromys	2439567	Heteromys desmarestianus	2439574	
6164225	Canis latrans dickeyi Nelson, 1932	6164225	Canis latrans dickeyi Nelson, 1932	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Canidae	9701	Canis	5219142	Canis latrans	5219153	
2435022	Felis Linnaeus, 1758	2435022	Felis Linnaeus, 1758	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Felidae	9703	Felis	2435022			
2438147	Sigmodon hispidus Say & Ord, 1825	2438147	Sigmodon hispidus Say & Ord, 1825	357	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Sigmodon	2438146	Sigmodon hispidus	2438147	LC
4265312	Artibeus jamaicensis jamaicensis	4265312	Artibeus jamaicensis jamaicensis	6	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Artibeus	2433258	Artibeus jamaicensis	2433272	
5220069	Lagenorhynchus obliquidens Gill, 1865	5220069	Lagenorhynchus obliquidens Gill, 1865	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Cetacea	733	Delphinidae	5314	Lagenorhynchus	2440608	Lagenorhynchus obliquidens	5220069	LC
2437451	Syntheosciurus Bangs, 1902	2437451	Syntheosciurus Bangs, 1902	13	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Syntheosciurus	2437451			
2440992	Tayassu G.Fischer	2440992	Tayassu G.Fischer	1	GENUS	DOUBTFUL	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Tayassuidae	5303	Tayassu	2440992			
5706668	Sciurus variegatoides rigidus Peters, 1863	5706668	Sciurus variegatoides rigidus Peters, 1863	41	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Sciurus	2437489	Sciurus variegatoides	5219677	
5787070	Mazama cerasina Hollister, 1914	7261373	Mazama temama (Kerr, 1792)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Cervidae	5298	Mazama	2440920	Mazama temama	7261373	DD
2433148	Centurio senex Gray, 1842	2433148	Centurio senex Gray, 1842	25	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Centurio	2433147	Centurio senex	2433148	LC
6163139	Marmosa mexicana savannarum Goldman, 1917	6163139	Marmosa mexicana savannarum Goldman, 1917	13	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Didelphimorphia	783	Didelphidae	5455	Marmosa	2439860	Marmosa mexicana	2439876	
2433258	Artibeus Leach, 1821	2433258	Artibeus Leach, 1821	94	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Chiroptera	734	Phyllostomidae	9366	Artibeus	2433258			
5220061	Stenella longirostris centroamericana Perrin, 1990	5220061	Stenella longirostris centroamericana Perrin, 1990	5	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Cetacea	733	Delphinidae	5314	Stenella	2440546	Stenella longirostris	5220060	
7193889	Nasua narica narica	7193889	Nasua narica narica	33	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Procyonidae	5311	Nasua	2433530	Nasua narica	2433531	
